original_id,new_name,words_used,status,txt_path,img_path
0bdf8da3d089_1100,dev ral,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1100_en_US_notes_contacts___PART032_1.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1100 dev Ral Estate Agent 646 713 4516.jpg
0bdf8da3d089_1101,esteban ortega,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1101_en_US_notes_contacts___PART032_2.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1101 esteban Ortega.jpg
0bdf8da3d089_1102,finn ross,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1102_en_US_notes_contacts___PART032_3.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1102 finn Ross.jpg
0bdf8da3d089_1103,zhuri white,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1103_en_US_notes_contacts___PART032_4.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1103 zhuri White Hairdresser 6027417267.jpg
0bdf8da3d089_1104,jonah reyes,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1104_en_US_notes_contacts___PART032_5.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1104 jonah Reyes - ask about parent-teacher c.jpg
0bdf8da3d089_1105,kathleen daton,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1105_en_US_notes_contacts___PART032_6.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1105 kathleen Daton.jpg
0bdf8da3d089_1106,deshawn office,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1106_en_US_notes_contacts___PART032_7.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1106 deShawn - office supply order.jpg
0bdf8da3d089_1107,gareth marshall,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1107_en_US_notes_contacts___PART032_8.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1107 Gareth Marshall Web Developer 801-273-72.jpg
0bdf8da3d089_1108,lex price,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1108_en_US_notes_contacts___PART032_9.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1108 lex Price.jpg
0bdf8da3d089_1109,paid manuel,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/notes/1109_en_US_notes_contacts___PART032_10.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 - Final - Contact notes/0bdf8da3d089/screenshots/1109 paid Manuel Library Contact from Lakewoo.jpg
