original_id,original_txt_name,original_jpg_name,new_name,words_used,status
1100,1100_en_US_notes_contacts___PART032_1.txt,1100 jasmine Sullivan Real Estate Agent 20252.jpg,jasmine sullivan real,3,renamed
1101,1101_en_US_notes_contacts___PART032_2.txt,1101 caleb Basketball Trainer Omaha 215 30389.jpg,caleb basketball,2,renamed
1102,1102_en_US_notes_contacts___PART032_3.txt,1102 talked to Leo Dermatologist 4705059295.jpg,talked to leo,3,renamed
1103,1103_en_US_notes_contacts___PART032_4.txt,1103 Nina Murphy - practice schedule for next.jpg,nina murphy,2,renamed
1104,1104_en_US_notes_contacts___PART032_5.txt,1104 checked with Griffin Pharmacy Tech 81830.jpg,checked with griffin,3,renamed
1105,1105_en_US_notes_contacts___PART032_6.txt,1105 mila Benntet Election Volunteer 30551910.jpg,mila benntet,2,renamed
1106,1106_en_US_notes_contacts___PART032_7.txt,1106 marcus Hayes Dermatologiist San Diego 21.jpg,marcus hayes,2,renamed
1107,1107_en_US_notes_contacts___PART032_8.txt,1107 call Eboni Rivera Dorm Office about fina.jpg,call eboni,2,renamed
1108,1108_en_US_notes_contacts___PART032_9.txt,1108 Evna - oil chhange  brale chheck due.jpg,evna oil,2,renamed
1109,1109_en_US_notes_contacts___PART032_10.txt,1109 andr eRoss Tennis Instructor 4159007383.jpg,andr eross,2,renamed
1110,1110_en_US_notes_contacts___PART032_11.txt,1110 lucia Mendez.jpg,lucia mendez,2,renamed
1111,1111_en_US_notes_contacts___PART032_12.txt,1111 Met Noah Pilates Instructor from Columbu.jpg,met noah,2,renamed
1112,1112_en_US_notes_contacts___PART032_13.txt,1112 jordan.jpg,jordan 602,2,renamed
1113,1113_en_US_notes_contacts___PART032_14.txt,1113 talked to Miles Coworker from Orlando ab.jpg,talked to miles,3,renamed
1114,1114_en_US_notes_contacts___PART032_15.txt,1114 Dylan Bailey Real Estate Agent Charlotte.jpg,dylan bailey,2,renamed
1115,1115_en_US_notes_contacts___PART032_16.txt,1115 kara Fosster Car Inspection Baltimore 64.jpg,kara fosster,2,renamed
1116,1116_en_US_notes_contacts___PART032_17.txt,1116 aaliya hColeman Nail Tech 8014526366.jpg,aaliya hcoleman,2,renamed
1117,1117_en_US_notes_contacts___PART032_18.txt,1117 Naomi rPce Optometrist Atlanta 267-594-2.jpg,naomi rpce,2,renamed
1118,1118_en_US_notes_contacts___PART032_19.txt,1118 called Logan Hayes Gym Trainer 702 607 2.jpg,called logan,2,renamed
1119,1119_en_US_notes_contacts___PART032_20.txt,1119 tucker Murphy.jpg,tucker murphy,2,renamed
1120,1120_en_US_notes_contacts___PART033_21.txt,1120 Bella - ask about retainer cost.jpg,bella ask,2,renamed
1121,1121_en_US_notes_contacts___PART033_22.txt,1121 maya Serling Pgotographer 516 801 4528.jpg,maya serling,2,renamed
1122,1122_en_US_notes_contacts___PART033_23.txt,1122 call AeryB ailey Nail Tech about picck u.jpg,call aeryb,2,renamed
1123,1123_en_US_notes_contacts___PART033_24.txt,1123 derek Car Inspection Miami 3037882478.jpg,derek car,2,renamed
1124,1124_en_US_notes_contacts___PART033_25.txt,1124 mateo.jpg,mateo 3106728250,2,renamed
1125,1125_en_US_notes_contacts___PART033_26.txt,1125 bianca - suit alterations for the weddin.jpg,bianca suit,2,renamed
1126,1126_en_US_notes_contacts___PART033_27.txt,1126 elena Tennis Intructor 6177694984.jpg,elena tennis,2,renamed
1127,1127_en_US_notes_contacts___PART033_28.txt,1127 Talked to Camila Patel Bowling League Co.jpg,talked to camila patel,4,renamed
1128,1128_en_US_notes_contacts___PART033_29.txt,1128 Rafael Sterling.jpg,rafael sterling,2,renamed
1129,1129_en_US_notes_contacts___PART033_30.txt,1129 met Fiona Foster Insurance Agent feom Bo.jpg,met fiona,2,renamed
1130,1130_en_US_notes_contacts___PART033_31.txt,1130 wesley Disz - ask abbout retainer cst.jpg,wesley disz,2,renamed
1131,1131_en_US_notes_contacts___PART033_32.txt,1131 Checked with Sofia Yoga Coach.jpg,checked with sofia,3,renamed
1132,1132_en_US_notes_contacts___PART033_33.txt,1132 Reese Morgan Driving Instructor 64673128.jpg,reese morgan,2,renamed
1133,1133_en_US_notes_contacts___PART033_34.txt,1133 sarah Price.jpg,sarah price,2,renamed
1134,1134_en_US_notes_contacts___PART033_35.txt,1134 logan Bennett.jpg,logan bennett,2,renamed
1135,1135_en_US_notes_contacts___PART033_36.txt,1135 parker Mobile Detailing 4047042308.jpg,parker mobile,2,renamed
1136,1136_en_US_notes_contacts___PART033_37.txt,1136 Owen - reservations for 5.jpg,owen reservations,2,renamed
1137,1137_en_US_notes_contacts___PART033_38.txt,1137 Met Mateo Bennett HVAC Repair about ac r.jpg,met mateo,2,renamed
1138,1138_en_US_notes_contacts___PART033_39.txt,1138 miles Patel.jpg,miles patel,2,renamed
1139,1139_en_US_notes_contacts___PART033_40.txt,1139 mateo Price Auto Shop 7542366467.jpg,mateo price,2,renamed
1140,1140_en_US_notes_contacts___PART034_41.txt,1140 noahR eed - installation for smart senso.jpg,noahr eed,2,renamed
1141,1141_en_US_notes_contacts___PART034_42.txt,1141 mila.jpg,mila 650,2,renamed
